"variable","est","grad","obj","iter","convg","run_time","faboup_iter","faboup_convg","update_type","max_faboup_iter"
"lambda_1",1.12958902610119,4.99909230269324e-05,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"lambda_2",1.70473871017891,1.29317030683751e-06,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"lambda_3",0.409448000669647,-1.20868856816614e-05,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"lambda_4",-1.92495588402882,4.94427360986371e-06,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"sigma2_u_1",1.2514975801109,-2.05016249285039e-05,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"sigma2_u_2",1.5963634465843,1.5720262937502e-05,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"sigma2_u_3",1.48491141532498,-4.67226550959765e-06,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"sigma2_u_4",0.969715659068212,3.51770105377902e-07,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"sigma2_e_1",0.621386324442919,1.8788007492887e-05,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"sigma2_e_2",0.475903434345611,-1.83052161004671e-05,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"sigma2_e_3",0.404495035621979,-1.51184733148679e-05,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"sigma2_e_4",0.683617420026263,-2.75380228997868e-06,7996.5412890869,19,1,11.9330279827118,11,0,"block",200
"theta_ou_11",1.15758643672875,NA,7996.5406047867,12,0,21.0268940925598,11,0,"block",200
"theta_ou_21",-4.94762224092519,NA,7996.5406047867,12,0,21.0268940925598,11,0,"block",200
"theta_ou_12",-0.761241878839226,NA,7996.5406047867,12,0,21.0268940925598,11,0,"block",200
"theta_ou_22",6.37273471535932,NA,7996.5406047867,12,0,21.0268940925598,11,0,"block",200
"sigma_ou_11",1.07799825386442,NA,7996.5406047867,12,0,21.0268940925598,11,0,"block",200
"sigma_ou_22",2.29235330070368,NA,7996.5406047867,12,0,21.0268940925598,11,0,"block",200
"lambda_1",1.12989365585933,3.8976437549465e-05,7996.5401454085,19,1,11.7717080116272,12,0,"block",200
